aircraft,mod,flap,isa_dev,mach,cruise_alt,payload,total_dist_nm
CJ1,Flatwing,0,-10,0.0,41000,0,965.779588831854
CJ1,Flatwing,0,-10,0.0,39000,0,855.3487771429232
CJ1,Flatwing,0,0,0.0,41000,0,1004.6226978521729
CJ1,Flatwing,0,0,0.0,39000,0,918.9323800095848
CJ1,Flatwing,0,10,0.0,41000,0,1018.1575825971142
CJ1,Flatwing,0,10,0.0,39000,0,961.5996560584703
CJ1,Flatwing,0,20,0.0,41000,0,1019.3706708157329
CJ1,Flatwing,0,20,0.0,39000,0,1000.6577562907354
CJ1,Tamarack,0,-10,0.0,41000,0,924.3364749734757
CJ1,Tamarack,0,-10,0.0,39000,0,787.1348626616457
CJ1,Tamarack,0,0,0.0,41000,0,1001.423927812249
CJ1,Tamarack,0,0,0.0,39000,0,846.6772047926962
CJ1,Tamarack,0,10,0.0,41000,0,1065.8270284015641
CJ1,Tamarack,0,10,0.0,39000,0,910.6705763521936
CJ1,Tamarack,0,20,0.0,41000,0,1099.1170248138337
CJ1,Tamarack,0,20,0.0,39000,0,981.3852689412586
